bard_bi_replicate.bdi_pipo_bard_ic,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/bard_bi_replicate/BDI_PIPO_BARD_IC__20250720190057,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/bard_bi_replicate/BDI_PIPO_BARD_IC__20250720190057" 
bard_bi_replicate.bdi_pipo_ic_legal_entity,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/bard_bi_replicate/BDI_PIPO_IC_LEGAL_ENTITY,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/bard_bi_replicate/BDI_PIPO_IC_LEGAL_ENTITY" 
bard_bi_replicate.bdi_pipo_bard_actual,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/bard_bi_replicate/BDI_PIPO_BARD_ACTUAL__20250720190038,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/bard_bi_replicate/BDI_PIPO_BARD_ACTUAL__20250720190038" 
bard_bi_replicate.bdi_pipo_actual_legal_entity,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/bard_bi_replicate/BDI_PIPO_ACTUAL_LEGAL_ENTITY,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/bard_bi_replicate/BDI_PIPO_ACTUAL_LEGAL_ENTITY" 
everest_ecc_replicate.t001w,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/everest_ecc_replicate/T001W,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/everest_ecc_replicate/T001W" 
everest_ecc_replicate.t001,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/everest_ecc_replicate/T001,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/everest_ecc_replicate/T001" 
everest_ecc_replicate.kna1,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/everest_ecc_replicate/KNA1,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/everest_ecc_replicate/KNA1" 
everest_ecc_replicate.knb1,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/everest_ecc_replicate/KNB1,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/everest_ecc_replicate/KNB1" 
everest_ecc_staging.mara_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/mara_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/mara_stg" 
everest_ecc_staging.makt_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/makt_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/makt_stg" 
everest_ecc_staging.marm_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/marm_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/marm_stg" 
everest_ecc_staging.vbrp_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/vbrp_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/vbrp_stg" 
everest_ecc_staging.marc_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/marc_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/marc_stg" 
everest_ecc_staging.mseg_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/mseg_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/mseg_stg" 
everest_ecc_staging.vbrk_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/vbrk_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_staging.db/vbrk_stg" 
everest_ecc_secure_staging.ce1bd01_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_secure_staging.db/ce1bd01_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/everest_ecc_secure_staging.db/ce1bd01_stg" 
lots_staging.pfpxz_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/lots_staging.db/pfpxz_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/lots_staging.db/pfpxz_stg" 
monaco_ecc_replicate.t001,EXTERNAL_TABLE,wasbs://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/attunity/monaco_ecc_replicate/T001,hdfs dfs -du -s -h "wasbs://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/attunity/monaco_ecc_replicate/T001" 
monaco_ecc_staging.makt_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/monaco_ecc_staging.db/makt_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/monaco_ecc_staging.db/makt_stg" 
monaco_ecc_staging.marc_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/monaco_ecc_staging.db/marc_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/monaco_ecc_staging.db/marc_stg" 
monaco_ecc_staging.mseg_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/monaco_ecc_staging.db/mseg_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/monaco_ecc_staging.db/mseg_stg" 
tahiti_ecc_replicate.t001w,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/T001W,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/T001W" 
tahiti_ecc_replicate.t001,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/T001,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/T001" 
tahiti_ecc_replicate.kna1,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/KNA1,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/KNA1" 
tahiti_ecc_replicate.knb1,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/KNB1,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/KNB1" 
tahiti_ecc_replicate.knvv,EXTERNAL_TABLE,wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/KNVV,hdfs dfs -du -s -h "wasbs://prodattunitycontainer@data3repoprd.blob.core.windows.net/attunity/tahiti_ecc_replicate/KNVV" 
tahiti_ecc_staging.mara_stg,MANAGED_TABLE,wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/tahiti_ecc_staging.db/mara_stg,hdfs dfs -du -s -h "wasb://hdisprod-ddp-2018-01-18t16-05-30-769z@data1repoprd.blob.core.windows.net/hive/warehouse/tahiti_ecc_staging.db/mara_stg" 
