TYPE,USAGE_NUMBER,SPLIT_NUMBER,SPLIT_CROSSREF,REFERENCE,DETAILS,USER_NAME,DATE,AMOUNT,FOREIGN_AMOUNT,DELETED_FLAG,CIS_VAT,RECORD_CREATE_DATE,RECORD_MODIFY_DATE,RECORD_DELETED
SI,1,2,84,3122,£ 300.00 (£ 300.00) to SI 40360,Olia,2013-02-01,300.0,300.0,0,0.0,2013-08-16 11:25:39,2019-01-25 14:31:07,0
SI,2,2,85,3122,£ 36.00 (£ 36.00) to SI 40361,Olia,2013-02-01,36.0,36.0,0,0.0,2013-08-16 11:25:39,2019-03-28 13:14:03,0
SI,3,2,26802,trans 14430,£ 75.25 (£ 75.25) to SI 94058,Demi,2019-03-28,75.25,75.25,0,0.0,2019-03-28 13:14:03,2019-03-28 13:14:03,0
SC,4,4,17,84,£ 237.39 (€ 282.56) from SC 20787,Olia,2011-01-31,237.39000000000001,282.56,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,5,5,17,84,£ 197.83 (€ 235.47) from SC 20787,Olia,2011-01-31,197.82999999999998,235.46999999999997,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,6,6,17,84,£ 127.68 (€ 151.97) from SC 20787,Olia,2011-01-31,127.67999999999999,151.97,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,7,6,22,86,£ 294.34 (€ 350.35) from SC 20792,Olia,2011-01-31,294.34000000000003,350.35,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,8,7,22,86,£ 276.95 (€ 329.65) from SC 20792,Olia,2011-01-31,276.95,329.65,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,9,8,22,86,£ 630.10 (€ 750.00) from SC 20792,Olia,2011-01-31,630.1,750.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,10,9,22,86,£ 777.13 (€ 925.00) from SC 20792,Olia,2011-01-31,777.13,925.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,11,10,22,86,£ 201.63 (€ 240.00) from SC 20792,Olia,2011-01-31,201.63,240.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,12,11,22,86,£ 210.03 (€ 250.00) from SC 20792,Olia,2011-01-31,210.03000000000003,250.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,13,12,22,86,£ 2226.37 (€ 2650.00) from SC 20792,Olia,2011-01-31,2226.37,2650.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,14,16,26783,trans 20786,£ 1370.65 (€ 1600.00) to SI 94039,Demi,2019-03-28,1370.65,1600.0,0,0.0,2019-03-28 13:11:41,2019-03-28 13:11:41,0
SI,15,16,26796,REVAL,£ 3.77 (€ 0.00) to SI 94052,Demi,2019-03-28,3.7700000000000005,0.0,0,0.0,2019-03-28 13:11:41,2019-03-28 13:11:41,0
SI,16,17,4,2609,£ 237.39 (€ 282.56) to SI 19202,Olia,2011-01-31,237.39000000000001,282.56,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,17,17,23,REVAL,£ 5.33 (€ 0.00) to SI 21804,Olia,2011-01-31,5.33,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,18,17,5,2609,£ 197.83 (€ 235.47) to SI 19203,Olia,2011-01-31,197.82999999999998,235.46999999999997,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,19,17,24,REVAL,£ 4.44 (€ 0.00) to SI 21805,Olia,2011-01-31,4.4399999999999995,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,20,17,6,2609,£ 127.68 (€ 151.97) to SI 19204,Olia,2011-01-31,127.67999999999999,151.97,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,21,17,25,REVAL,£ 2.86 (€ 0.00) to SI 21806,Olia,2011-01-31,2.8600000000000003,0.0,0,0.0,2013-07-09 10:43:37,2019-03-28 13:11:42,0
SI,22,17,26783,trans 20786,£ 325.53 (€ 380.00) to SI 94039,Demi,2019-03-28,325.53000000000003,380.0,0,0.0,2019-03-28 13:11:41,2019-03-28 13:11:42,0
SI,23,17,26797,REVAL,£ 0.90 (€ 0.00) to SI 94053,Demi,2019-03-28,0.9,0.0,0,0.0,2019-03-28 13:11:42,2019-03-28 13:11:42,0
SI,24,18,26784,trans 20788,£ 1593.38 (€ 1860.00) to SI 94040,Demi,2019-03-28,1593.3799999999999,1860.0,0,0.0,2019-03-28 13:12:17,2019-03-28 13:12:17,0
SI,25,18,26798,REVAL,£ 4.38 (€ 0.00) to SI 94054,Demi,2019-03-28,4.38,0.0,0,0.0,2019-03-28 13:12:17,2019-03-28 13:12:17,0
SI,26,19,26784,trans 20788,£ 1313.25 (€ 1533.00) to SI 94040,Demi,2019-03-28,1313.25,1533.0,0,0.0,2019-03-28 13:12:17,2019-03-28 13:12:17,0
SI,27,19,26799,REVAL,£ 3.61 (€ 0.00) to SI 94055,Demi,2019-03-28,3.6100000000000003,0.0,0,0.0,2019-03-28 13:12:17,2019-03-28 13:12:17,0
SI,28,20,26784,trans 20788,£ 1876.08 (€ 2190.00) to SI 94040,Demi,2019-03-28,1876.08,2190.0,0,0.0,2019-03-28 13:12:17,2019-03-28 13:12:17,0
SI,29,20,26800,REVAL,£ 5.15 (€ 0.00) to SI 94056,Demi,2019-03-28,5.15,0.0,0,0.0,2019-03-28 13:12:17,2019-03-28 13:12:17,0
SI,30,21,26784,trans 20788,£ 385.49 (€ 450.00) to SI 94040,Demi,2019-03-28,385.49,450.0,0,0.0,2019-03-28 13:12:17,2019-03-28 13:12:17,0
SI,31,21,26801,REVAL,£ 1.06 (€ 0.00) to SI 94057,Demi,2019-03-28,1.06,0.0,0,0.0,2019-03-28 13:12:17,2019-03-28 13:12:17,0
SI,32,22,6,2609,£ 294.34 (€ 350.35) to SI 19204,Olia,2011-01-31,294.34000000000003,350.35,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,33,22,26,REVAL,£ 3.43 (€ 0.00) to SI 21807,Olia,2011-01-31,3.4299999999999997,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,34,22,7,2609,£ 276.95 (€ 329.65) to SI 19205,Olia,2011-01-31,276.95,329.65,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,35,22,27,REVAL,£ 3.23 (€ 0.00) to SI 21808,Olia,2011-01-31,3.2299999999999995,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,36,22,8,2609,£ 630.10 (€ 750.00) to SI 19206,Olia,2011-01-31,630.1,750.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,37,22,28,REVAL,£ 7.34 (€ 0.00) to SI 21809,Olia,2011-01-31,7.340000000000001,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,38,22,9,2609,£ 777.13 (€ 925.00) to SI 19207,Olia,2011-01-31,777.13,925.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,39,22,29,REVAL,£ 9.05 (€ 0.00) to SI 21810,Olia,2011-01-31,9.05,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,40,22,10,2609,£ 201.63 (€ 240.00) to SI 19208,Olia,2011-01-31,201.63,240.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,41,22,30,REVAL,£ 2.35 (€ 0.00) to SI 21811,Olia,2011-01-31,2.35,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,42,22,11,2609,£ 210.03 (€ 250.00) to SI 19209,Olia,2011-01-31,210.03000000000003,250.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,43,22,31,REVAL,£ 2.45 (€ 0.00) to SI 21812,Olia,2011-01-31,2.45,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SP,44,22,12,,£ 2226.37 (€ 2650.00) to SP 19431,Olia,2011-01-31,2226.37,2650.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,45,22,32,REVAL,£ 25.92 (€ 0.00) to SI 21813,Olia,2011-01-31,25.919999999999998,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,46,23,17,84,£ 5.33 (€ 0.00) from SC 20787,Olia,2011-01-31,5.33,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,47,24,17,84,£ 4.44 (€ 0.00) from SC 20787,Olia,2011-01-31,4.4399999999999995,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,48,25,17,84,£ 2.86 (€ 0.00) from SC 20787,Olia,2011-01-31,2.8600000000000003,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,49,26,22,86,£ 3.43 (€ 0.00) from SC 20792,Olia,2011-01-31,3.4299999999999997,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,50,27,22,86,£ 3.23 (€ 0.00) from SC 20792,Olia,2011-01-31,3.2299999999999995,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,51,28,22,86,£ 7.34 (€ 0.00) from SC 20792,Olia,2011-01-31,7.340000000000001,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,52,29,22,86,£ 9.05 (€ 0.00) from SC 20792,Olia,2011-01-31,9.05,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,53,30,22,86,£ 2.35 (€ 0.00) from SC 20792,Olia,2011-01-31,2.35,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,54,31,22,86,£ 2.45 (€ 0.00) from SC 20792,Olia,2011-01-31,2.45,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,55,32,22,86,£ 25.92 (€ 0.00) from SC 20792,Olia,2011-01-31,25.919999999999998,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
PP,56,33,42,,£ 52.23 ($ 84.00) from PP 29476,JUDY,2011-11-30,52.23,84.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,57,34,42,,£ 76.71 ($ 123.36) from PP 29476,JUDY,2011-11-30,76.71000000000001,123.35999999999999,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,58,35,42,,£ 127.47 ($ 205.00) from PP 29476,JUDY,2011-11-30,127.47,205.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,59,36,42,,£ 4.13 ($ 6.64) from PP 29476,JUDY,2011-11-30,4.13,6.640000000000001,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,60,38,49,,£ 97.67 ($ 159.14) from PP 29501,JUDY,2011-11-30,97.67,159.14000000000001,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,61,39,42,,£ 89.61 ($ 146.00) from PP 29476,JUDY,2011-11-30,89.61,146.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,62,40,42,,£ 63.83 ($ 104.00) from PP 29476,JUDY,2011-11-30,63.83,104.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,63,42,33,US April 2011,£ 52.23 ($ 84.00) to PI 23097,JUDY,2011-11-30,52.23,84.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,64,42,43,REVAL,£ 0.27 ($ 0.00) to PI 29477,JUDY,2011-11-30,0.27,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,65,42,34,US April 2011,£ 76.71 ($ 123.36) to PI 23098,JUDY,2011-11-30,76.71000000000001,123.35999999999999,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,66,42,44,REVAL,£ 0.38 ($ 0.00) to PI 29478,JUDY,2011-11-30,0.38,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,67,42,35,US April 2011,£ 127.47 ($ 205.00) to PI 23099,JUDY,2011-11-30,127.47,205.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,68,42,45,REVAL,£ 0.64 ($ 0.00) to PI 29479,JUDY,2011-11-30,0.64,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,69,42,36,US April 2011,£ 4.13 ($ 6.64) to PI 23100,JUDY,2011-11-30,4.13,6.640000000000001,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,70,42,46,REVAL,£ 0.02 ($ 0.00) to PI 29480,JUDY,2011-11-30,0.02,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,71,42,39,USD Sept,£ 89.61 ($ 146.00) to PI 27511,JUDY,2011-11-30,89.61,146.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,72,42,47,REVAL,£ 1.63 ($ 0.00) to PI 29481,JUDY,2011-11-30,1.6300000000000001,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,73,42,40,USD Sept,£ 63.83 ($ 104.00) to PI 27512,JUDY,2011-11-30,63.83,104.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,74,42,48,REVAL,£ 1.17 ($ 0.00) to PI 29482,JUDY,2011-11-30,1.17,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,75,43,42,,£ 0.27 ($ 0.00) from PP 29476,JUDY,2011-11-30,0.27,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,76,44,42,,£ 0.38 ($ 0.00) from PP 29476,JUDY,2011-11-30,0.38,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,77,45,42,,£ 0.64 ($ 0.00) from PP 29476,JUDY,2011-11-30,0.64,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,78,46,42,,£ 0.02 ($ 0.00) from PP 29476,JUDY,2011-11-30,0.02,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,79,47,42,,£ 1.63 ($ 0.00) from PP 29476,JUDY,2011-11-30,1.6300000000000001,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,80,48,42,,£ 1.17 ($ 0.00) from PP 29476,JUDY,2011-11-30,1.17,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,81,49,38,Sept $,£ 97.67 ($ 159.14) to PI 27434,JUDY,2011-11-30,97.67,159.14000000000001,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,82,49,50,REVAL,£ 1.78 ($ 0.00) to PI 29502,JUDY,2011-11-30,1.78,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,83,50,49,,£ 1.78 ($ 0.00) from PP 29501,JUDY,2011-11-30,1.78,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,84,53,57,,£ 49.48 ($ 78.20) from PP 31928,Judith,2012-03-01,49.480000000000004,78.2,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PC,85,53,58,REVAL,£ 0.19 ($ 0.00) from PC 31929,Judith,2012-03-01,0.19,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,86,57,53,Brazil Visit,£ 49.48 ($ 78.20) to PI 31146,Judith,2012-03-01,49.480000000000004,78.2,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,87,58,53,Brazil Visit,£ 0.19 ($ 0.00) to PI 31146,Judith,2012-03-01,0.19,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,88,59,61,,£ 184.35 ($ 291.36) from PP 32210,Judith,2012-03-30,184.35,291.36,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,89,60,61,,£ 47.09 ($ 74.43) from PP 32210,Judith,2012-03-30,47.089999999999996,74.42999999999999,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,90,61,59,Kuwait 18-22 March,£ 184.35 ($ 291.36) to PI 32208,Judith,2012-03-30,184.35,291.36,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,91,61,60,Saudi 22-27 March,£ 47.09 ($ 74.43) to PI 32209,Judith,2012-03-30,47.089999999999996,74.42999999999999,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,92,62,63,,£ 144.26 ($ 228.00) from PP 32228,Judith,2012-03-30,144.26,228.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,93,63,62,US Aug 11,£ 144.26 ($ 228.00) to PI 32226,Judith,2012-03-30,144.26,228.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,94,65,66,,£ 101.52 ($ 157.00) to PI 34126,Olia,2012-06-01,101.52000000000001,157.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PA,95,66,65,$ petty cash,£ 101.52 ($ 157.00) from PA 34125,Olia,2012-06-01,101.52000000000001,157.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,96,70,72,,£ 23.68 ($ 37.16) from PP 35947,Judith,2012-08-31,23.68,37.160000000000004,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,97,71,72,,£ 33.13 ($ 51.99) from PP 35947,Judith,2012-08-31,33.13,51.989999999999995,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,98,72,70,$JAN11,£ 23.68 ($ 37.16) to PI 35943,Judith,2012-08-31,23.68,37.160000000000004,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,99,72,71,$FEB11,£ 33.13 ($ 51.99) to PI 35944,Judith,2012-08-31,33.13,51.989999999999995,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,100,74,82,metlife,£ 170.52 (£ 170.52) to PI 39891,Judith,2013-01-31,170.52,170.52,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
SP,101,75,123,,£ 152.06 ($ 253.75) to SP 50395,Olia,2014-03-01,152.06,253.75,0,0.0,2014-03-24 15:11:02,2019-01-25 14:31:07,0
SI,102,75,124,REVAL,£ 15.54 ($ 0.00) to SI 50409,Olia,2014-03-01,15.540000000000001,0.0,0,0.0,2014-03-24 15:11:02,2019-01-25 14:31:07,0
SP,103,76,123,,£ 114.60 ($ 191.25) to SP 50395,Olia,2014-03-01,114.6,191.25,0,0.0,2014-03-24 15:11:02,2019-01-25 14:31:07,0
SI,104,76,125,REVAL,£ 11.72 ($ 0.00) to SI 50410,Olia,2014-03-01,11.72,0.0,0,0.0,2014-03-24 15:11:02,2019-01-25 14:31:07,0
SI,105,76,9917,4978,£ 188.64 ($ 285.60) to SI 77172,Judith,2017-03-01,188.64000000000001,285.6,0,0.0,2017-05-18 10:37:19,2019-01-25 14:31:07,0
SI,106,76,9918,4978,£ 104.28 ($ 157.89) to SI 77173,Judith,2017-03-01,104.28,157.89000000000001,0,0.0,2017-05-18 10:37:19,2019-01-25 14:31:07,0
SI,107,77,9918,4978,£ 188.64 ($ 285.60) to SI 77173,Judith,2017-03-01,188.64000000000001,285.6,0,0.0,2017-05-18 10:37:19,2019-01-25 14:31:07,0
PI,108,78,82,metlife,£ 170.52 (£ 170.52) to PI 39891,Judith,2013-01-31,170.52,170.52,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,109,79,82,metlife,£ 170.52 (£ 170.52) to PI 39891,Judith,2013-01-31,170.52,170.52,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,110,80,82,metlife,£ 83.84 (£ 83.84) to PI 39891,Judith,2013-01-31,83.84,83.84,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,111,81,82,metlife,£ 148.85 (£ 148.85) to PI 39891,Judith,2013-01-31,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PA,112,82,74,s/o,£ 170.52 (£ 170.52) from PA 36616,Judith,2013-01-31,170.52,170.52,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PA,113,82,78,,£ 170.52 (£ 170.52) from PA 37319,Judith,2013-01-31,170.52,170.52,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PA,114,82,79,bacs,£ 170.52 (£ 170.52) from PA 38138,Judith,2013-01-31,170.52,170.52,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PA,115,82,80,s/o,£ 83.84 (£ 83.84) from PA 38941,Judith,2013-01-31,83.84,83.84,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PA,116,82,81,,£ 148.85 (£ 148.85) from PA 39742,Judith,2013-01-31,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,117,83,86,s/o,£ 148.85 (£ 148.85) from PP 40541,Olia,2013-02-22,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,118,83,87,s/o,£ 148.85 (£ 148.85) from PP 41307,Olia,2013-03-22,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,119,83,95,s/o,£ 148.85 (£ 148.85) from PP 41985,Olia,2013-04-22,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,120,83,98,,£ 148.85 (£ 148.85) from PP 43122,Olia,2013-05-22,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,121,83,99,,£ 148.85 (£ 148.85) from PP 43701,Olia,2013-06-24,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,122,83,100,dd,£ 148.85 (£ 148.85) from PP 44309,Judith,2013-07-22,148.85,148.85,0,0.0,2013-08-01 15:36:05,2019-01-25 14:31:07,0
PP,123,83,101,,£ 148.85 (£ 148.85) from PP 45348,Olia,2013-08-22,148.85,148.85,0,0.0,2013-08-29 14:38:00,2019-01-25 14:31:07,0
PP,124,83,115,d/d £79.21,£ 0.04 (£ 0.04) from PP 48236,Olia,2013-12-23,0.04,0.04,0,0.0,2014-01-08 10:48:16,2019-01-25 14:31:07,0
SC,125,84,2,66,£ 300.00 (£ 300.00) from SC 14430,Olia,2013-02-01,300.0,300.0,0,0.0,2013-08-16 11:25:39,2019-01-25 14:31:07,0
SC,126,85,2,66,£ 36.00 (£ 36.00) from SC 14430,Olia,2013-02-01,36.0,36.0,0,0.0,2013-08-16 11:25:39,2019-01-25 14:31:07,0
PI,127,86,83,metlife,£ 148.85 (£ 148.85) to PI 39892,Olia,2013-02-22,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,128,87,83,metlife,£ 148.85 (£ 148.85) to PI 39892,Olia,2013-03-22,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,129,90,94,,£ 37.53 ($ 56.94) from PP 41800,Judith,2013-03-31,37.53,56.94,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,130,91,94,,£ 95.39 ($ 144.72) from PP 41800,Judith,2013-03-31,95.39,144.72,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,131,92,94,,£ 3.66 ($ 5.56) from PP 41800,Judith,2013-03-31,3.66,5.5600000000000005,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PP,132,93,94,,£ 29.66 ($ 45.00) from PP 41800,Judith,2013-03-31,29.660000000000004,45.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,133,94,90,January 2013,£ 37.53 ($ 56.94) to PI 41791,Judith,2013-03-31,37.53,56.94,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,134,94,91,January 2013,£ 95.39 ($ 144.72) to PI 41792,Judith,2013-03-31,95.39,144.72,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,135,94,92,January 2013,£ 3.66 ($ 5.56) to PI 41793,Judith,2013-03-31,3.66,5.5600000000000005,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,136,94,93,December 2012,£ 29.66 ($ 45.00) to PI 41795,Judith,2013-03-31,29.660000000000004,45.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,137,95,83,metlife,£ 148.85 (£ 148.85) to PI 39892,Olia,2013-04-22,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,138,98,83,metlife,£ 148.85 (£ 148.85) to PI 39892,Olia,2013-05-22,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,139,99,83,metlife,£ 148.85 (£ 148.85) to PI 39892,Olia,2013-06-24,148.85,148.85,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:07,0
PI,140,100,83,metlife,£ 148.85 (£ 148.85) to PI 39892,Judith,2013-07-22,148.85,148.85,0,0.0,2013-08-01 15:36:05,2019-01-25 14:31:07,0
PI,141,101,83,metlife,£ 148.85 (£ 148.85) to PI 39892,Olia,2013-08-22,148.85,148.85,0,0.0,2013-08-29 14:38:00,2019-01-25 14:31:07,0
PI,142,104,106,Metlife,£ 131.44 (£ 131.44) to PI 47438,Olia,2013-11-01,131.44,131.44,0,0.0,2013-11-29 11:49:01,2019-01-25 14:31:07,0
PI,143,104,107,Metlife,£ 17.41 (£ 17.41) to PI 47439,Olia,2013-11-01,17.41,17.41,0,0.0,2013-11-29 11:49:01,2019-01-25 14:31:07,0
PI,144,105,107,Metlife,£ 148.85 (£ 148.85) to PI 47439,Olia,2013-11-01,148.85,148.85,0,0.0,2013-11-29 11:49:01,2019-01-25 14:31:07,0
PA,145,106,104,d/d,£ 131.44 (£ 131.44) from PA 46080,Olia,2013-11-01,131.44,131.44,0,0.0,2013-11-29 11:49:01,2019-01-25 14:31:07,0
PA,146,107,104,d/d,£ 17.41 (£ 17.41) from PA 46080,Olia,2013-11-01,17.41,17.41,0,0.0,2013-11-29 11:49:01,2019-01-25 14:31:07,0
PA,147,107,105,s/o,£ 148.85 (£ 148.85) from PA 46951,Olia,2013-11-01,148.85,148.85,0,0.0,2013-11-29 11:49:01,2019-01-25 14:31:07,0
PP,148,107,108,,£ 148.85 (£ 148.85) from PP 47473,Olia,2013-11-29,148.85,148.85,0,0.0,2013-11-29 11:49:22,2019-01-25 14:31:07,0
PP,149,107,115,d/d £79.21,£ 79.17 (£ 79.17) from PP 48236,Olia,2013-12-23,79.17,79.17,0,0.0,2014-01-08 10:48:17,2019-01-25 14:31:07,0
PP,150,107,116,Metlife s/o,£ 131.44 (£ 131.44) from PP 48776,Olia,2014-01-22,131.44,131.44,0,0.0,2014-01-22 13:38:50,2019-01-25 14:31:07,0
PP,151,107,117,s/o,£ 131.44 (£ 131.44) from PP 49714,Olia,2014-02-24,131.44,131.44,0,0.0,2014-03-03 10:16:21,2019-01-25 14:31:07,0
PP,152,107,122,s/o,£ 131.44 (£ 131.44) from PP 50391,Olia,2014-03-24,131.44,131.44,0,0.0,2014-03-24 14:05:18,2019-01-25 14:31:07,0
PP,153,107,135,s/o,£ 131.44 (£ 131.44) from PP 51198,Judith,2014-04-22,131.44,131.44,0,0.0,2014-05-06 15:26:28,2019-01-25 14:31:07,0
PP,154,107,139,s/o,£ 131.44 (£ 131.44) from PP 52084,Olia,2014-05-22,131.44,131.44,0,0.0,2014-06-16 12:07:30,2019-01-25 14:31:07,0
